team_fifa,team_iso3,team_zh,group_label,head_coach,formation_primary,formation_secondary,tactical_label,tactical_description,key_player_uids,squad_status,metadata_json
Spain,ESP,西班牙,H,Luis de la Fuente,4-3-3,"4-2-3-1,4-1-4-1",德拉富恩特延续西班牙控球传统,德拉富恩特延续西班牙控球传统，但更重视边锋一对一和进攻速度。 罗德里/佩德里式中场控制节奏，亚马尔、尼科-威廉姆斯等宽度点拉开防线；丢球后立即反抢。,"67217524,89056845,67220143,24048100,67211760",final_26,"{""key_player_names"": [""Rodri"", ""Ferran Torres"", ""Mikel Oyarzabal"", ""Dani Olmo"", ""Mikel Merino""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""德拉富恩特延续西班牙控球传统，但更重视边锋一对一和进攻速度。"", ""tactical_focus"": ""罗德里/佩德里式中场控制节奏，亚马尔、尼科-威廉姆斯等宽度点拉开防线；丢球后立即反抢。""}}"
Uruguay,URU,乌拉圭,H,Marcelo Bielsa,4-3-3,"4-2-3-1,3-3-1-3",贝尔萨风格鲜明：高强度压迫、纵向推进、局部人盯人和大量前插,贝尔萨风格鲜明：高强度压迫、纵向推进、局部人盯人和大量前插。 巴尔韦德、乌加特支撑中场压迫，努涅斯冲击身后，边路会不断制造传中和倒三角；体能与空间管理是成败关键。,"78060464,78001113,78074594,78059800,14094572",final_26,"{""key_player_names"": [""José María Giménez"", ""Fernando Muslera"", ""Federico Valverde"", ""Giorgian de Arrascaeta"", ""Rodrigo Bentancur""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""贝尔萨风格鲜明：高强度压迫、纵向推进、局部人盯人和大量前插。"", ""tactical_focus"": ""巴尔韦德、乌加特支撑中场压迫，努涅斯冲击身后，边路会不断制造传中和倒三角；体能与空间管理是成败关键。""}}"
France,FRA,法国,I,Didier Deschamps,4-2-3-1,"4-3-3,4-4-2",德尚大赛风格极其务实,德尚大赛风格极其务实，优先保证防守结构，再释放前场巨星的转换速度。 姆巴佩、登贝莱等速度点决定反击上限，格列兹曼/中场核心负责串联；领先后法国会降低风险、压缩空间。,"85139014,85140178,85081880,85086031,85033423",final_26,"{""key_player_names"": [""Kylian Mbappé"", ""Ousmane Dembélé"", ""N'Golo Kanté"", ""Adrien Rabiot"", ""Lucas Digne""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""德尚大赛风格极其务实，优先保证防守结构，再释放前场巨星的转换速度。"", ""tactical_focus"": ""姆巴佩、登贝莱等速度点决定反击上限，格列兹曼/中场核心负责串联；领先后法国会降低风险、压缩空间。""}}"
Iraq,IRQ,伊拉克,I,Graham Arnold,4-2-3-1,"4-4-2,4-3-3",格雷厄姆-阿诺德强调防守纪律、身体对抗和比赛管理,格雷厄姆-阿诺德强调防守纪律、身体对抗和比赛管理，适合杯赛弱势局面。 伊拉克会用双后腰保护中路，依靠边路推进和锋线支点打转换；定位球攻防是抢分关键。,"23325135,23320744,54200063,23433998,93053622",final_26,"{""key_player_names"": [""Aymen Hussein"", ""Jalal Hassan"", ""Mohanad Ali"", ""Ibrahim Bayesh"", ""Amir Al-Ammari""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""格雷厄姆-阿诺德强调防守纪律、身体对抗和比赛管理，适合杯赛弱势局面。"", ""tactical_focus"": ""伊拉克会用双后腰保护中路，依靠边路推进和锋线支点打转换；定位球攻防是抢分关键。""}}"
Norway,NOR,挪威,I,Ståle Solbakken,4-3-3,"4-4-2,4-2-3-1",索尔巴肯体系直接而清晰,索尔巴肯体系直接而清晰，围绕哈兰德的纵深和厄德高的组织展开。 挪威会用中场控球找到厄德高，再通过直塞、传中和二点球服务哈兰德；防守端需要避免阵线过长。,"29179241,53095137,53063430,53101282,53004955",final_26,"{""key_player_names"": [""Erling Haaland"", ""Martin Ødegaard"", ""Alexander Sørloth"", ""Sander Berge"", ""Ørjan Nyland""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""索尔巴肯体系直接而清晰，围绕哈兰德的纵深和厄德高的组织展开。"", ""tactical_focus"": ""挪威会用中场控球找到厄德高，再通过直塞、传中和二点球服务哈兰德；防守端需要避免阵线过长。""}}"
Senegal,SEN,塞内加尔,I,Pape Thiaw,4-3-3,"4-2-3-1,4-4-2",帕普-蒂亚乌延续塞内加尔强对抗、快速转换的传统,帕普-蒂亚乌延续塞内加尔强对抗、快速转换的传统，防守端重团队覆盖。 马内、萨尔等速度点冲击肋部，库利巴利领衔后防，盖耶/中场屏障负责破坏和向前第一传。,"85100467,85051083,48042766,13191636,85032335",final_26,"{""key_player_names"": [""Sadio Mané"", ""Kalidou Koulibaly"", ""Ismaïla Sarr"", ""Krépin Diatta"", ""GUEYE Idrissa Gana""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""帕普-蒂亚乌延续塞内加尔强对抗、快速转换的传统，防守端重团队覆盖。"", ""tactical_focus"": ""马内、萨尔等速度点冲击肋部，库利巴利领衔后防，盖耶/中场屏障负责破坏和向前第一传。""}}"
Algeria,ALG,阿尔及利亚,J,Vladimir Petković,4-2-3-1,"3-4-2-1,4-3-3",佩特科维奇偏平衡和结构化,佩特科维奇偏平衡和结构化，能在控球阵地战与三中卫防守之间切换。 马赫雷斯提供右路创造，技术型中场负责节奏，锋线需要通过换位拉开射门窗口；防守要控制边后卫身后。,"85078058,85079680,12038706,2000069643,28085752",final_26,"{""key_player_names"": [""Riyad Mahrez"", ""Aïssa Mandi"", ""Ramy Bensebaini"", ""Mohamed Amoura"", ""Nabil Bentaleb""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""佩特科维奇偏平衡和结构化，能在控球阵地战与三中卫防守之间切换。"", ""tactical_focus"": ""马赫雷斯提供右路创造，技术型中场负责节奏，锋线需要通过换位拉开射门窗口；防守要控制边后卫身后。""}}"
Argentina,ARG,阿根廷,J,Lionel Scaloni,4-3-3,"4-4-2,3-5-2",斯卡洛尼强调灵活、团队保护和比赛细节,斯卡洛尼强调灵活、团队保护和比赛细节，体系服务于梅西与中场控制。 阿根廷可用4-3-3保持压迫，也可用4-4-2保护边路；梅西在右肋/中路自由接球，阿尔瓦雷斯和劳塔罗提供冲击和终结。,"7458500,14110660,14004589,14048343,14024702",final_26,"{""key_player_names"": [""Lionel Messi"", ""Lautaro Martínez"", ""Nicolás Otamendi"", ""Rodrigo De Paul"", ""Leandro Paredes""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""斯卡洛尼强调灵活、团队保护和比赛细节，体系服务于梅西与中场控制。"", ""tactical_focus"": ""阿根廷可用4-3-3保持压迫，也可用4-4-2保护边路；梅西在右肋/中路自由接球，阿尔瓦雷斯和劳塔罗提供冲击和终结。""}}"
Austria,AUT,奥地利,J,Ralf Rangnick,4-2-2-2,"4-2-3-1,4-3-3",朗尼克是高压和快速纵向进攻代表,朗尼克是高压和快速纵向进攻代表，球队无球阶段非常主动。 奥地利会用前场压迫迫使对手出球失误，随后快速找禁区前沿；萨比策、莱默尔等中场负责强度和第二落点。,"37003555,16010162,16045721,16045723,16096614",final_26,"{""key_player_names"": [""Marko Arnautović"", ""David Alaba"", ""Marcel Sabitzer"", ""Michael Gregoritsch"", ""GRILLITSCH Florian""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""朗尼克是高压和快速纵向进攻代表，球队无球阶段非常主动。"", ""tactical_focus"": ""奥地利会用前场压迫迫使对手出球失误，随后快速找禁区前沿；萨比策、莱默尔等中场负责强度和第二落点。""}}"
Jordan,JOR,约旦,J,Jamal Sellami,3-4-2-1,"5-4-1,4-2-3-1",塞拉米偏务实和团队纪律,塞拉米偏务实和团队纪律，约旦在强队面前会更重视防线完整性。 穆萨-塔马里是反击第一出口，边路速度和定位球是主要得分方式；无球时可能形成五后卫或深度4-4-2。,"64049018,23243726,23238345,26038808,23233197",final_26,"{""key_player_names"": [""Ali Olwan"", ""Mahmoud Al-Mardi"", ""Yazan Al-Arab"", ""MOUSA ALTAMARI"", ""EHSAN HADDAD""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""塞拉米偏务实和团队纪律，约旦在强队面前会更重视防线完整性。"", ""tactical_focus"": ""穆萨-塔马里是反击第一出口，边路速度和定位球是主要得分方式；无球时可能形成五后卫或深度4-4-2。""}}"
Colombia,COL,哥伦比亚,K,Néstor Lorenzo,4-2-3-1,"4-3-3,4-4-2",洛伦索的哥伦比亚平衡性强,洛伦索的哥伦比亚平衡性强，既能控球也能通过边路速度打转换。 迪亚斯是左路爆点，哈梅斯/金特罗类型球员负责最后一传，莱尔马等中场提供对抗和保护。,"76002390,8835677,76049803,76023027,76038475",final_26,"{""key_player_names"": [""James Rodríguez"", ""David Ospina"", ""Luis Díaz"", ""Davinson Sánchez"", ""Jefferson Lerma""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""洛伦索的哥伦比亚平衡性强，既能控球也能通过边路速度打转换。"", ""tactical_focus"": ""迪亚斯是左路爆点，哈梅斯/金特罗类型球员负责最后一传，莱尔马等中场提供对抗和保护。""}}"
Congo DR,COD,刚果（金）,K,Sébastien Desabre,4-2-3-1,"4-3-3,5-4-1",德萨布雷强调稳定防守、快速推进和球员身体优势的释放,德萨布雷强调稳定防守、快速推进和球员身体优势的释放。 刚果（金）会通过边路速度和中锋支点打反击，中场需要承担大量覆盖；面对强队可能降低阵线保护禁区。,"18057323,34009930,85125689,85140175,13173388",final_26,"{""key_player_names"": [""Chancel Mbemba"", ""Cédric Bakambu"", ""Samuel Moutoussamy"", ""Yoane Wissa"", ""ELIA Meschack""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""德萨布雷强调稳定防守、快速推进和球员身体优势的释放。"", ""tactical_focus"": ""刚果（金）会通过边路速度和中锋支点打反击，中场需要承担大量覆盖；面对强队可能降低阵线保护禁区。""}}"
Portugal,POR,葡萄牙,K,Roberto Martínez,3-4-3,"4-3-3,4-2-3-1",罗伯托-马丁内斯偏控球和进攻主动,罗伯托-马丁内斯偏控球和进攻主动，常在三中卫与四后卫之间切换。 葡萄牙进攻点丰富，B费、B席、莱奥、若昂-菲利克斯等人可多点轮转；C罗/若塔类型终结点决定禁区效率。,"735216,43124203,55041632,55041623,55070299",final_26,"{""key_player_names"": [""Cristiano Ronaldo"", ""Bruno Fernandes"", ""Bernardo Silva"", ""João Cancelo"", ""Rúben Dias""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""罗伯托-马丁内斯偏控球和进攻主动，常在三中卫与四后卫之间切换。"", ""tactical_focus"": ""葡萄牙进攻点丰富，B费、B席、莱奥、若昂-菲利克斯等人可多点轮转；C罗/若塔类型终结点决定禁区效率。""}}"
Uzbekistan,UZB,乌兹别克斯坦,K,Fabio Cannavaro,5-4-1,"4-2-3-1,3-4-2-1",卡纳瓦罗作为防守型名宿,卡纳瓦罗作为防守型名宿，预计会优先建立防线稳定和禁区保护。 胡萨诺夫领衔防守，肖穆罗多夫提供锋线支点；乌兹别克斯坦会更多依赖快速反击、边路传中和定位球。,"59061760,59044494,59072225,59062049",final_26,"{""key_player_names"": [""Eldor Shomurodov"", ""Igor Sergeev"", ""Otabek Shukurov"", ""Jaloliddin Masharipov"", ""XAMROBEKOV Odiljon""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""卡纳瓦罗作为防守型名宿，预计会优先建立防线稳定和禁区保护。"", ""tactical_focus"": ""胡萨诺夫领衔防守，肖穆罗多夫提供锋线支点；乌兹别克斯坦会更多依赖快速反击、边路传中和定位球。""}}"
Croatia,CRO,克罗地亚,L,Zlatko Dalić,4-3-3,"4-2-3-1,4-1-4-1",达利奇延续克罗地亚的中场控制和大赛韧性,达利奇延续克罗地亚的中场控制和大赛韧性，节奏管理能力强。 莫德里奇/科瓦契奇式中场负责控球和减速提速，边路传中与中锋抢点补充进攻；防守重视阵型紧凑。,"653054,34012563,24004434,24016925,24021244",final_26,"{""key_player_names"": [""Luka Modrić"", ""Ivan Perišić"", ""Andrej Kramarić"", ""Mateo Kovačić"", ""Mario Pašalić""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""达利奇延续克罗地亚的中场控制和大赛韧性，节奏管理能力强。"", ""tactical_focus"": ""莫德里奇/科瓦契奇式中场负责控球和减速提速，边路传中与中锋抢点补充进攻；防守重视阵型紧凑。""}}"
England,ENG,英格兰,L,Thomas Tuchel,4-2-3-1,"3-4-2-1,4-3-3",图赫尔强调结构、压迫触发点和阵型弹性,图赫尔强调结构、压迫触发点和阵型弹性，可能比过去英格兰更重视前场轮转。 贝林厄姆、福登、萨卡、凯恩之间的空间分工是核心；球队可用双后腰稳住反击防守，也可改三中卫释放翼卫。,"28049320,28100266,28005568,28060397,28106491",final_26,"{""key_player_names"": [""Harry Kane"", ""Marcus Rashford"", ""Jordan Henderson"", ""John Stones"", ""Declan Rice""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""图赫尔强调结构、压迫触发点和阵型弹性，可能比过去英格兰更重视前场轮转。"", ""tactical_focus"": ""贝林厄姆、福登、萨卡、凯恩之间的空间分工是核心；球队可用双后腰稳住反击防守，也可改三中卫释放翼卫。""}}"
Ghana,GHA,加纳,L,Carlos Queiroz,4-3-3,"4-2-3-1,5-4-1",奎罗斯是保守务实派,奎罗斯是保守务实派，防守组织、空间压缩和反击效率优先。 加纳会用库杜斯等前场个人能力打转换，中场承担大量拦截任务；领先或面对强队时可能明显回撤。,"34010721,67175052,29194724,16199712,13117442",final_26,"{""key_player_names"": [""Jordan Ayew"", ""Thomas Partey"", ""Antoine Semenyo"", ""Gideon Mensah"", ""RAHMAN Baba""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""奎罗斯是保守务实派，防守组织、空间压缩和反击效率优先。"", ""tactical_focus"": ""加纳会用库杜斯等前场个人能力打转换，中场承担大量拦截任务；领先或面对强队时可能明显回撤。""}}"
Panama,PAN,巴拿马,L,Thomas Christiansen,3-4-3,"5-4-1,4-2-3-1",克里斯蒂安森带队纪律性强,克里斯蒂安森带队纪律性强，强调身体对抗、边路推进和直接转换。 巴拿马会用中后场紧凑防守换取反击空间，边翼卫/边锋传中和定位球是主要威胁；对强队可能摆五后卫。,"14023180,67099292,86008024,80027502,83152912",final_26,"{""key_player_names"": [""Aníbal Godoy"", ""Alberto Quintero"", ""Eric Davis"", ""BARCENAS Edgar Yoel"", ""ESCOBAR Fidel""], ""raw_tactics"": {""squad_status_raw"": ""26人最终名单（FIFA官方Version 1，2026-06-12 04:24 UTC）"", ""coaching_style"": ""克里斯蒂安森带队纪律性强，强调身体对抗、边路推进和直接转换。"", ""tactical_focus"": ""巴拿马会用中后场紧凑防守换取反击空间，边翼卫/边锋传中和定位球是主要威胁；对强队可能摆五后卫。""}}"
